,timer,WCR IN,Welding Current,Welding Voltage,X offset,Z offset,PLUS Integral,MINUS Integral,Standard_Arc_Current,ALL Integral,x up,x ui,z up,z ui,x,y,z,welding on/off polyscope,touch on/off polyscope,ratio_t,get_wcr polyscope,get_touch polyscope,write_welder,peak_vlaue,Arc_percent,set_current,set_voltage,set speed (cpm),set amplitude,set frequency,set x_offset,set z_offset,set rx,set ry
1745306716.2034757,6.335999965667725,0.0,351.0,29.8095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.461660385131836,1.168745756149292,0.13204149901866913,1.0,0.0,0.0731707289814949,1.0,0.0,1.0,50.0,11.354862213134766,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.70111083984375,40.0
1745306716.3054354,6.440000057220459,0.0,350.0,29.970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.040857315063477,-0.6891458630561829,0.10548251122236252,1.0,0.0,0.0731707289814949,1.0,0.0,1.0,0.0,64.72623443603516,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.70111083984375,40.0
1745306716.406896,6.544000148773193,0.0,342.0,29.938478469848633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.727217674255371,-2.196946859359741,0.04613976925611496,1.0,0.0,0.0731707289814949,1.0,0.0,1.0,50.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.70111083984375,40.0
1745306716.5085225,6.6479997634887695,0.0,357.0,29.9062442779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.433565139770508,-1.0946727991104126,0.08381924033164978,1.0,0.0,0.0731707289814949,1.0,0.0,1.0,0.0,22.9755916595459,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.70111083984375,40.0
1745306716.610336,6.751999855041504,0.0,348.0,29.938478469848633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.42426872253418,-0.2883865535259247,0.16901952028274536,1.0,0.0,0.0731707289814949,1.0,0.0,1.0,0.0,46.63363265991211,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.70111083984375,40.0
1745306716.712122,6.855999946594238,0.0,342.0,29.938478469848633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.270179748535156,0.4734434187412262,0.1930042803287506,1.0,0.0,0.0731707289814949,1.0,0.0,1.0,0.0,72.65621185302734,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.70111083984375,40.0
1745306716.8141541,6.960000038146973,0.0,352.0,30.035152435302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09237289428711,1.3226733207702637,0.22475264966487885,1.0,0.0,0.0731707289814949,1.0,0.0,1.0,50.0,94.84072875976562,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.70111083984375,40.0
1745306716.9158385,7.056000232696533,0.0,344.0,29.9062442779541,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,21.73760986328125,0.8936364054679871,0.09270371496677399,1.0,0.0,0.08536585420370102,1.0,0.0,1.0,0.0,15.291426658630371,1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.23641967773438,40.0
1745306717.017643,7.159999847412109,0.0,342.0,29.970703125,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,20.373653411865234,-0.9220630526542664,0.10620629042387009,1.0,0.0,0.08536585420370102,1.0,0.0,1.0,0.0,68.81573486328125,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.23641967773438,40.0
1745306717.1194823,7.263999938964844,0.0,332.0,29.938478469848633,0.37999019026756287,0.800000011920929,352.0735168457031,341.2166748046875,310.0,346.6451110839844,0.37999019026756287,0.0,-0.800000011920929,0.0,19.27532196044922,-2.0811431407928467,0.12076174467802048,1.0,0.0,0.08536585420370102,1.0,0.0,1.0,50.0,1.255021333694458,-1.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,-73.23641967773438,40.0
